Activity Number,BBE Status,OLI Category,Line #
1-35V700PM,BBE Deleted,Deleted,4
1-35V7P0HF,BBE Closed,New,4
1-35V8GPR3,BBE Available,New,4
1-35V8I3U4,BBE Available,New,4
1-35V8MIWH,BBE Available,New,4
1-35V92PFS,BBE Deleted,Deleted,4
1-35VA1DFU,BBE Available,SysAdded,4
1-35VBKFLC,BBE Deleted,Deleted,4
1-35VBN87F,BBE Closed,New,4
1-35VC2AJC,BBE Available,New,4
1-35VCTX3I,BBE Available,SysAdded,4
1-35VDASSL,BBE Deleted,Deleted,4
1-35VDCB6I,BBE Available,SysAdded,4
1-35VDQVG2,BBE Deleted,Deleted,4
1-35VEHR64,BBE Closed,New,4
1-35VEMEMM,BBE Closed,SysAdded,4
1-35VERXPU,BBE Available,SysAdded,4
1-35VEWBDO,BBE Closed,SysAdded,4
1-35VGAVWU,BBE Deleted,Deleted,4
1-35VGEJNT,BBE Deleted,Deleted,4
1-35VGSVM0,BBE Deleted,Deleted,4
1-35VGYUVR,BBE Available,SysAdded,4
1-35VIOOC3,BBE Available,SysAdded,4
1-35VJ4B6Y,BBE Available,SysAdded,4
1-35VK9WV7,BBE Closed,SysAdded,4
